app/psauron.py -i data/MANE_smallset_rna.fna -v
psauron score: 31.1
NOTE: alternate reading frames may not contain valid ORFs
description,psauron_is_protein,in_frame_score,forward_frame2_score,forward_frame3_score,reverse_frame1_score,reverse_frame2_score,reverse_frame3_score,mean_out_of_frame_score
NM_000132.4,True,0.94544,0.06452,0.14807,0.09929,0.07034,0.11736,0.09992
NM_000133.4,False,0.15759,0.0585,0.78911,0.16694,0.03898,0.25769,0.26224
NM_000134.4,False,0.26126,0.10266,0.18535,0.11966,0.08724,0.1411,0.1272
NM_000135.4,False,0.0279,0.13286,0.82197,0.06053,0.14592,0.18827,0.26991
NM_000136.3,False,0.1287,0.77989,0.07873,0.20934,0.292,0.14399,0.30079
NM_000137.4,False,0.00672,0.01526,0.98979,0.04812,0.0112,0.1569,0.24425
NM_000138.5,False,0.03771,0.98056,0.35757,0.0259,0.22297,0.11705,0.34081
NM_000139.5,True,0.6001,0.29867,0.40477,0.0759,0.13555,0.11306,0.20559
NM_000140.5,False,0.11536,0.38936,0.20782,0.26407,0.15722,0.20305,0.2443
NM_000141.5,True,0.93547,0.04187,0.07905,0.07755,0.05194,0.11785,0.07365
NM_000142.5,False,0.01915,0.02948,0.87368,0.03617,0.15081,0.05291,0.22861
NM_000143.4,True,0.99648,0.0219,0.05342,0.01386,0.09066,0.00629,0.03723
NM_000144.5,False,0.199,0.51522,0.14286,0.17437,0.1719,0.22326,0.24552
NM_000145.4,False,0.05398,0.02817,0.94606,0.14404,0.07911,0.01642,0.24276
NM_000146.4,False,0.07032,0.99967,0.00036,0.03767,0.00379,0.04595,0.21749
NM_000147.5,False,0.06814,0.94555,0.06917,0.08618,0.08905,0.22407,0.28281
NM_000150.4,False,0.10491,0.16759,0.39231,0.23921,0.13341,0.07276,0.20106
NM_000151.4,False,0.32833,0.06799,0.08858,0.66086,0.14385,0.32643,0.25754
NM_000152.5,True,0.9361,0.02346,0.05232,0.03394,0.03053,0.05054,0.03816
NM_000153.4,True,0.79537,0.11475,0.1393,0.11784,0.12212,0.17779,0.13436
NM_000154.2,False,0.00846,0.02338,0.99677,0.01982,0.03736,0.03429,0.22232
NM_000155.4,True,0.91972,0.02995,0.09826,0.07675,0.25519,0.02738,0.09751
NM_000156.6,True,0.98843,0.00534,0.01965,0.01967,0.04101,0.01321,0.01978
NM_000157.4,False,0.14872,0.04511,0.91038,0.15302,0.05763,0.02554,0.23834
NM_000158.4,False,0.0821,0.02161,0.98485,0.08958,0.03242,0.06592,0.23888
NM_000159.4,False,0.01894,0.05507,0.97714,0.06365,0.02331,0.06156,0.23615
NM_000160.5,False,0.06536,0.82996,0.01246,0.01828,0.029,0.02388,0.18272
NM_000161.3,False,0.02957,0.22209,0.14627,0.14806,0.08229,0.14528,0.1488
NM_000162.5,True,0.94655,0.01097,0.09845,0.02882,0.03115,0.10326,0.05453
NM_000163.5,True,0.6465,0.08449,0.23429,0.09464,0.12784,0.10771,0.1298
NM_000164.4,False,0.06343,0.35325,0.49184,0.06822,0.08537,0.18172,0.23608
NM_000165.5,False,0.07683,0.06133,0.69694,0.09922,0.10608,0.08344,0.2094
NM_000166.6,False,0.07494,0.0847,0.52601,0.0457,0.02346,0.03961,0.1439
NM_000168.6,False,0.0821,0.06047,0.92002,0.22038,0.16487,0.047,0.28255
NM_000169.3,False,0.04691,0.9956,0.06654,0.13347,0.03726,0.02709,0.25199
NM_000170.3,False,0.03423,0.05598,0.96487,0.06251,0.12673,0.09743,0.2615
NM_000171.4,False,0.03324,0.02638,0.97658,0.01585,0.10674,0.04632,0.23438
NM_000173.7,False,0.05013,0.10903,0.89771,0.04452,0.0801,0.08712,0.2437
NM_000174.5,False,0.34552,0.00384,0.16253,0.01652,0.0156,0.01587,0.04287
NM_000175.5,False,0.04982,0.07265,0.66216,0.201,0.25684,0.11459,0.26145
NM_000176.3,True,0.77023,0.11666,0.22998,0.1045,0.07428,0.15086,0.13526
NM_000178.4,False,0.03385,0.99286,0.0188,0.15737,0.01116,0.03244,0.24253
NM_000179.3,False,0.08093,0.06936,0.9952,0.09099,0.1334,0.03074,0.26394
NM_000180.4,True,0.96775,0.01183,0.06006,0.08413,0.08045,0.04251,0.0558
NM_000181.4,True,0.98117,0.00798,0.08942,0.03925,0.03194,0.02981,0.03968
NM_000182.5,True,0.98985,0.0436,0.02806,0.04326,0.08414,0.05034,0.04988
NM_000183.3,True,0.9885,0.04466,0.02544,0.25537,0.02983,0.02026,0.07511
NM_000184.3,False,0.00014,0.0025,0.99962,0.00455,0.0013,0.01904,0.2054
NM_000185.4,False,0.06036,0.92594,0.01682,0.13706,0.02006,0.03664,0.2273
NM_000186.4,True,0.98705,0.17467,0.03641,0.18869,0.03297,0.00827,0.0882
NM_000187.4,False,0.03181,0.01826,0.96141,0.03559,0.61056,0.09035,0.34323
NM_000188.3,False,0.01538,0.03175,0.98345,0.07777,0.03494,0.03273,0.23213
NM_000189.5,False,0.07576,0.87108,0.04147,0.10946,0.07404,0.09455,0.23812
NM_000190.4,True,0.98187,0.00786,0.01946,0.00941,0.0238,0.06786,0.02568
NM_000191.3,False,0.08702,0.05166,0.97843,0.09341,0.0261,0.21618,0.27316
NM_000193.4,False,0.03282,0.08752,0.59426,0.10585,0.06891,0.17758,0.20682
NM_000194.3,True,0.99153,0.11113,0.02584,0.11396,0.01746,0.01188,0.05605
NM_000195.5,True,0.84057,0.03458,0.08315,0.04354,0.09389,0.06443,0.06392
NM_000196.4,False,0.02631,0.06081,0.73933,0.03979,0.03903,0.10937,0.19767
NM_000197.2,True,0.99377,0.01776,0.07925,0.01974,0.07503,0.0225,0.04286
NM_000198.4,False,0.03214,0.98837,0.0205,0.17157,0.05432,0.02353,0.25166
NM_000199.5,False,0.04832,0.07666,0.69979,0.10168,0.06482,0.02829,0.19425
NM_000200.3,False,0.21116,0.09241,0.16345,0.16855,0.86144,0.09612,0.27639
NM_000201.3,False,0.17346,0.90788,0.04481,0.14392,0.1263,0.05788,0.25616
NM_000202.8,False,0.15907,0.45257,0.10381,0.16354,0.24551,0.19489,0.23206
NM_000203.5,False,0.00849,0.04011,0.97463,0.02177,0.02788,0.01973,0.21682
NM_000204.5,False,0.02872,0.99426,0.36524,0.05304,0.06461,0.01854,0.29914
NM_000206.3,False,0.03839,0.23377,0.75777,0.02017,0.12747,0.2036,0.26856
NM_000207.3,False,0.00031,0.0895,0.56231,0.00925,0.0021,0.00441,0.13351
NM_000208.4,False,0.20856,0.74196,0.05549,0.11262,0.11651,0.1422,0.23376
NM_000209.4,False,0.20644,0.58111,0.14917,0.3754,0.18446,0.07215,0.27246
NM_000210.4,False,0.09359,0.07713,0.84641,0.05247,0.08111,0.0591,0.22324
NM_000211.5,False,0.02453,0.99281,0.03618,0.01867,0.13849,0.04833,0.2469
NM_000212.3,False,0.14982,0.06785,0.84544,0.17603,0.22284,0.34605,0.33164
NM_000213.5,False,0.01819,0.03284,0.99226,0.04357,0.0248,0.03533,0.22576
NM_000214.3,False,0.04891,0.97338,0.13563,0.08618,0.02713,0.21659,0.28778
NM_000215.4,False,0.0348,0.06789,0.79668,0.09266,0.08418,0.19753,0.24779
NM_000216.4,False,0.06005,0.07821,0.51269,0.14796,0.06267,0.07736,0.17578
NM_000217.3,True,0.62301,0.12428,0.10936,0.28247,0.1067,0.10331,0.14523
NM_000218.3,False,0.04722,0.91528,0.05793,0.02598,0.09575,0.05395,0.22978
NM_000219.6,False,0.13211,0.21364,0.2695,0.22732,0.08004,0.09965,0.17803
NM_000222.3,False,0.04756,0.92775,0.08183,0.03403,0.20763,0.11607,0.27346
NM_000223.4,False,0.03901,0.99855,0.01303,0.01962,0.02366,0.06766,0.2245
NM_000224.3,False,0.00206,0.01802,0.99976,0.02219,0.02062,0.00437,0.21299
NM_000226.4,False,0.00199,0.99907,0.10467,0.18259,0.19854,0.03451,0.30388
NM_000227.6,False,0.05071,0.99122,0.07937,0.03202,0.12206,0.06445,0.25782
NM_000228.3,False,0.10038,0.97499,0.05013,0.02248,0.0406,0.14528,0.2467
NM_000229.2,False,0.01548,0.99138,0.00461,0.00863,0.02058,0.01375,0.20779
NM_000230.3,False,0.43102,0.16678,0.42815,0.11029,0.20984,0.07727,0.19846
NM_000231.3,False,0.05585,0.68326,0.2239,0.0394,0.07004,0.02979,0.20928
NM_000232.5,False,0.07892,0.51184,0.16634,0.08922,0.05059,0.25606,0.21481
NM_000233.4,False,0.05193,0.02886,0.83661,0.08618,0.0653,0.18405,0.2402
NM_000234.3,False,0.01417,0.05203,0.99769,0.05609,0.0353,0.05774,0.23977
NM_000235.4,False,0.22891,0.7718,0.03623,0.05132,0.30556,0.28193,0.28937
NM_000236.3,False,0.36295,0.02957,0.11759,0.12201,0.03612,0.0409,0.06924
NM_000237.3,False,0.09441,0.1089,0.82791,0.07834,0.11197,0.33814,0.29305
NM_000238.4,True,0.95588,0.01642,0.03638,0.08372,0.03053,0.03841,0.04109
NM_000239.3,False,0.01458,0.30353,0.25965,0.1451,0.1339,0.04911,0.17826
NM_000240.4,False,0.08166,0.72277,0.19334,0.19024,0.12787,0.135,0.27384
NM_000243.3,False,0.22162,0.84369,0.02856,0.16805,0.07323,0.07953,0.23861
NM_000245.4,True,0.90772,0.08595,0.06547,0.19272,0.09457,0.0508,0.0979
NM_000246.4,False,0.43688,0.12611,0.15069,0.20809,0.15824,0.18278,0.16518
NM_000248.4,False,0.06844,0.14652,0.75704,0.10806,0.08089,0.10007,0.23852
NM_000249.4,True,0.99433,0.03182,0.04699,0.01505,0.09617,0.05348,0.0487
NM_000250.2,True,0.96721,0.03512,0.10205,0.03634,0.04442,0.03287,0.05016
NM_000251.3,True,0.99809,0.07652,0.02969,0.03999,0.02101,0.05695,0.04483
NM_000252.3,False,0.05565,0.79637,0.10411,0.06192,0.08953,0.04657,0.2197
NM_000254.3,False,0.097,0.88129,0.16934,0.07725,0.1055,0.10709,0.2681
NM_000255.4,False,0.02638,0.98557,0.06576,0.02385,0.06428,0.05712,0.23931
NM_000256.3,False,0.01885,0.99465,0.01588,0.02875,0.04146,0.04561,0.22527
NM_000257.4,True,0.99932,0.00505,0.01906,0.01119,0.02007,0.03182,0.01744
NM_000258.3,True,0.99967,0.00413,0.00709,0.01387,0.00611,0.00818,0.00787
NM_000260.4,False,0.02042,0.03995,0.97898,0.03208,0.02298,0.03999,0.2228
NM_000261.2,False,0.08564,0.02169,0.97397,0.01835,0.20392,0.04519,0.25262
NM_000262.3,False,0.05338,0.08348,0.82042,0.13802,0.07636,0.23591,0.27084
NM_000263.4,False,0.01189,0.04385,0.96966,0.02854,0.05611,0.03065,0.22576
NM_000264.5,False,0.08011,0.06124,0.84706,0.09867,0.06633,0.11892,0.23844
NM_000265.7,True,0.98659,0.00808,0.06805,0.05923,0.01228,0.06556,0.04264
NM_000266.4,False,0.13918,0.13448,0.21877,0.0613,0.16866,0.09309,0.13526
NM_000268.4,True,0.71908,0.05385,0.15267,0.20229,0.10941,0.17672,0.13899
NM_000269.3,True,0.97889,0.00704,0.02438,0.01271,0.051,0.42878,0.10478
NM_000270.4,False,0.0491,0.01387,0.97095,0.02986,0.02952,0.0743,0.2237
NM_000271.5,False,0.02785,0.96911,0.05493,0.02989,0.11398,0.09936,0.25345
NM_000273.3,True,0.88997,0.0295,0.0862,0.02421,0.05613,0.09876,0.05896
NM_000274.4,False,0.06542,0.01065,0.97521,0.10113,0.25245,0.01537,0.27096
NM_000275.3,False,0.02422,0.07082,0.95723,0.05618,0.06286,0.04789,0.239
NM_000276.4,False,0.09638,0.87453,0.05456,0.33524,0.05556,0.19863,0.3037
NM_000277.3,True,0.70933,0.07562,0.17014,0.38985,0.04133,0.07387,0.15016
NM_000278.5,False,0.1651,0.81901,0.19998,0.06942,0.13325,0.052,0.25473
NM_000281.4,False,0.01075,0.10727,0.99255,0.02959,0.06576,0.04245,0.24752
NM_000282.4,False,0.01488,0.99474,0.08757,0.08376,0.01295,0.03799,0.2434
NM_000283.4,True,0.98515,0.00707,0.04668,0.01349,0.02747,0.03798,0.02654
NM_000284.4,True,0.90662,0.09442,0.06868,0.075,0.13305,0.08658,0.09155
NM_000285.4,False,0.02179,0.97113,0.01338,0.02195,0.07052,0.02754,0.22091
NM_000286.3,False,0.11138,0.76045,0.25884,0.12233,0.15574,0.15095,0.28966
NM_000287.4,False,0.07006,0.89718,0.05936,0.11141,0.07842,0.09556,0.24839
NM_000288.4,False,0.15517,0.02912,0.96493,0.07297,0.13102,0.04059,0.24773
NM_000289.6,True,0.98638,0.03983,0.02023,0.31084,0.08906,0.02828,0.09765
NM_000290.4,False,0.00433,0.00286,0.99928,0.00391,0.00828,0.00327,0.20352
NM_000291.4,True,0.52746,0.07888,0.12635,0.16706,0.26194,0.12881,0.15261
NM_000292.3,False,0.02833,0.059,0.96362,0.04146,0.05305,0.11074,0.24557
NM_000293.3,False,0.13184,0.13287,0.93612,0.0903,0.05558,0.05782,0.25454
NM_000294.3,True,0.539,0.12961,0.11044,0.07609,0.18296,0.30843,0.16151
NM_000295.5,False,0.0921,0.07794,0.8589,0.082,0.12068,0.11153,0.25021
NM_000297.4,True,0.82834,0.04985,0.05213,0.11014,0.09908,0.08772,0.07978
NM_000298.6,False,0.05038,0.75909,0.10087,0.09822,0.10802,0.05002,0.22324
NM_000301.5,False,0.11481,0.92554,0.15518,0.03439,0.1181,0.08964,0.26457
NM_000302.4,True,0.98529,0.01755,0.03405,0.04989,0.02033,0.03376,0.03112
NM_000303.3,False,0.08125,0.17265,0.77115,0.15738,0.04775,0.05221,0.24023
NM_000304.4,True,0.7624,0.07185,0.23789,0.04176,0.08639,0.54228,0.19603
NM_000305.3,False,0.04043,0.02236,0.98885,0.01059,0.0209,0.01873,0.21229
NM_000306.4,False,0.05853,0.01682,0.93402,0.05404,0.00734,0.07163,0.21677
NM_000307.5,False,0.0611,0.20849,0.32651,0.10125,0.13803,0.21418,0.19769
NM_000308.4,True,0.98279,0.01483,0.05467,0.02622,0.06129,0.04099,0.0396
NM_000310.4,False,0.08752,0.14,0.80222,0.14519,0.07376,0.17842,0.26792
NM_000311.5,False,0.07792,0.77396,0.14595,0.0402,0.10297,0.16137,0.24489
NM_000312.4,True,0.97431,0.01035,0.04156,0.01655,0.02399,0.05846,0.03018
NM_000313.4,True,0.95908,0.10154,0.03769,0.02109,0.11277,0.05897,0.06641
NM_000314.8,False,0.06598,0.0965,0.22798,0.10566,0.15709,0.10579,0.1386
NM_000315.4,False,0.01563,0.01129,0.9933,0.0028,0.05335,0.02515,0.21718
NM_000316.3,True,0.98825,0.0136,0.01782,0.08608,0.0207,0.04643,0.03693
NM_000317.3,False,0.01549,0.90933,0.00087,0.01751,0.01379,0.00079,0.18845
NM_000318.3,False,0.17467,0.0643,0.21197,0.21527,0.14657,0.14188,0.156
NM_000320.3,True,0.93688,0.03932,0.02496,0.07012,0.11723,0.16057,0.08244
NM_000321.3,True,0.84664,0.06476,0.06724,0.07206,0.03389,0.12,0.07159
NM_000322.5,False,0.15968,0.14848,0.72431,0.08585,0.08597,0.12363,0.23365
NM_000324.3,True,0.97132,0.08256,0.09528,0.06606,0.02066,0.12623,0.07816
NM_000325.6,False,0.04935,0.32623,0.84338,0.10507,0.27498,0.10974,0.33188
NM_000326.5,False,0.07921,0.99068,0.0102,0.01087,0.09142,0.14583,0.2498
NM_000327.4,False,0.09491,0.86703,0.01559,0.06128,0.05677,0.03267,0.20667
NM_000329.3,False,0.01743,0.93206,0.10986,0.51006,0.08815,0.02965,0.33396
NM_000330.4,False,0.05673,0.19653,0.12903,0.40805,0.16753,0.11036,0.2023
NM_000334.4,False,0.02991,0.02976,0.97567,0.03927,0.05718,0.03228,0.22683
NM_000335.5,False,0.04928,0.03824,0.95987,0.06901,0.08402,0.04631,0.23949
NM_000336.3,True,0.96513,0.07879,0.02151,0.01271,0.08496,0.05906,0.0514
NM_000337.6,False,0.14568,0.39167,0.21903,0.19915,0.19472,0.21089,0.24309
NM_000338.3,False,0.09915,0.04429,0.95093,0.14333,0.03046,0.08169,0.25014
NM_000340.2,False,0.07151,0.04634,0.71809,0.10725,0.0274,0.30522,0.24086
NM_000341.4,False,0.09132,0.02112,0.97599,0.11912,0.0598,0.0213,0.23947
NM_000342.4,True,0.86306,0.06192,0.10555,0.09646,0.0849,0.06509,0.08278
NM_000343.4,True,0.88177,0.08839,0.09261,0.19389,0.0778,0.11109,0.11275
NM_000344.4,False,0.24928,0.08573,0.97726,0.02097,0.01784,0.19612,0.25959
NM_000345.4,True,0.52045,0.07411,0.14257,0.04019,0.14386,0.0978,0.09971
NM_000346.4,True,0.81062,0.06921,0.08227,0.0427,0.04425,0.07289,0.06227
NM_000348.4,False,0.19143,0.23335,0.31753,0.12423,0.22641,0.35816,0.25194
NM_000349.3,False,0.047,0.15839,0.8819,0.07667,0.08636,0.03946,0.24855
NM_000350.3,False,0.05808,0.98587,0.03328,0.03922,0.11589,0.0471,0.24427
NM_000352.6,True,0.96981,0.01827,0.02028,0.01949,0.03742,0.01717,0.02253
NM_000353.3,True,0.60159,0.04946,0.09287,0.48132,0.17231,0.26159,0.21151
NM_000354.6,False,0.05977,0.12104,0.71825,0.19809,0.08137,0.04252,0.23225
NM_000355.4,False,0.02509,0.08296,0.74125,0.07016,0.0223,0.05812,0.19496
NM_000358.3,False,0.04928,0.03756,0.99557,0.02703,0.13798,0.04629,0.24888
NM_000359.3,False,0.0178,0.97618,0.03299,0.01738,0.05698,0.04552,0.22581
NM_000360.4,False,0.00594,0.0421,0.98403,0.03016,0.01726,0.02201,0.21911
NM_000361.3,True,0.84021,0.03436,0.08821,0.11772,0.04407,0.09528,0.07593
NM_000362.5,False,0.37486,0.21944,0.12403,0.09842,0.07456,0.32741,0.16877
NM_000363.5,False,0.00114,0.0243,0.99892,0.01946,0.01843,0.00203,0.21263
NM_000365.6,True,0.9462,0.02086,0.0165,0.01943,0.18192,0.10154,0.06805
NM_000367.5,False,0.1667,0.12867,0.47718,0.16225,0.04351,0.08861,0.18004
NM_000368.5,False,0.12874,0.84093,0.09198,0.09313,0.12962,0.08147,0.24743
NM_000369.5,True,0.91781,0.05462,0.05715,0.25636,0.10858,0.06989,0.10932
NM_000370.3,False,0.04463,0.11587,0.56932,0.31018,0.0528,0.11441,0.23252
NM_000371.4,False,0.00327,0.00106,0.99482,0.15787,0.00097,0.05532,0.24201
NM_000372.5,False,0.03934,0.98465,0.08623,0.28709,0.08411,0.1234,0.3131
NM_000373.4,False,0.13372,0.07753,0.4638,0.21799,0.24429,0.15654,0.23203
NM_000374.5,True,0.9931,0.00587,0.02006,0.01164,0.08119,0.19178,0.06211
NM_000375.3,False,0.01381,0.98485,0.02424,0.05173,0.12641,0.03551,0.24455
NM_000376.3,True,0.81878,0.13658,0.16079,0.10943,0.06566,0.12514,0.11952
